Cluster,Country,Category
0,Argentina,Consumer
0,Australia,Consumer
0,Austria,Consumer
0,Belgium,Consumer
0,Brazil,Consumer
0,Bulgaria,Consumer
0,Canada,Consumer
0,Chile,Consumer
0,China,Consumer
0,Colombia,Consumer
0,Croatia,Consumer
0,Cyprus,Consumer
0,Czechia,Consumer
0,Denmark,Consumer
0,Egypt,Consumer
0,Estonia,Consumer
0,Finland,Consumer
0,France,Consumer
0,Germany,Consumer
0,Greece,Consumer
0,Hungary,Consumer
0,India,Consumer
0,Indonesia,Consumer
0,Ireland,Consumer
0,Italy,Consumer
0,Japan,Consumer
0,Kazakhstan,Consumer
0,Latvia,Consumer
0,Lithuania,Consumer
0,Luxembourg,Consumer
0,Malaysia,Consumer
0,Malta,Consumer
0,Mexico,Consumer
0,Morocco,Consumer
0,Netherlands,Consumer
0,New Zealand,Consumer
0,Nigeria,Consumer
0,Norway,Consumer
0,Pakistan,Consumer
0,Philippines,Consumer
0,Poland,Consumer
0,Portugal,Consumer
0,Romania,Consumer
0,Russia,Consumer
0,Saudi Arabia,Consumer
0,Slovakia,Consumer
0,Slovenia,Consumer
0,South Africa,Consumer
0,South Korea,Consumer
0,Spain,Consumer
0,Sweden,Consumer
0,Switzerland,Consumer
0,taiwan,Consumer
0,Thailand,Consumer
0,United Arab Emirates,Consumer
0,United Kingdom,Consumer
0,United States,Consumer
0,Vietnam,Consumer
0,Argentina,EnergyAndUtilities
0,Australia,EnergyAndUtilities
1,Austria,EnergyAndUtilities
0,Brazil,EnergyAndUtilities
0,Bulgaria,EnergyAndUtilities
0,Canada,EnergyAndUtilities
0,Chile,EnergyAndUtilities
0,China,EnergyAndUtilities
0,Colombia,EnergyAndUtilities
0,Croatia,EnergyAndUtilities
0,Cyprus,EnergyAndUtilities
1,Czechia,EnergyAndUtilities
1,Denmark,EnergyAndUtilities
0,Egypt,EnergyAndUtilities
0,Estonia,EnergyAndUtilities
1,Finland,EnergyAndUtilities
0,France,EnergyAndUtilities
0,Germany,EnergyAndUtilities
0,Greece,EnergyAndUtilities
0,Hungary,EnergyAndUtilities
0,India,EnergyAndUtilities
0,Indonesia,EnergyAndUtilities
0,Italy,EnergyAndUtilities
0,Japan,EnergyAndUtilities
0,Kazakhstan,EnergyAndUtilities
0,Lithuania,EnergyAndUtilities
0,Luxembourg,EnergyAndUtilities
0,Malaysia,EnergyAndUtilities
0,Malta,EnergyAndUtilities
0,Mexico,EnergyAndUtilities
0,Morocco,EnergyAndUtilities
0,Netherlands,EnergyAndUtilities
0,New Zealand,EnergyAndUtilities
0,Nigeria,EnergyAndUtilities
0,Norway,EnergyAndUtilities
0,Pakistan,EnergyAndUtilities
0,Philippines,EnergyAndUtilities
0,Poland,EnergyAndUtilities
1,Portugal,EnergyAndUtilities
0,Romania,EnergyAndUtilities
0,Russia,EnergyAndUtilities
1,Saudi Arabia,EnergyAndUtilities
0,Slovenia,EnergyAndUtilities
0,South Africa,EnergyAndUtilities
0,South Korea,EnergyAndUtilities
1,Spain,EnergyAndUtilities
0,Sweden,EnergyAndUtilities
0,Switzerland,EnergyAndUtilities
0,taiwan,EnergyAndUtilities
0,Thailand,EnergyAndUtilities
0,United Arab Emirates,EnergyAndUtilities
0,United Kingdom,EnergyAndUtilities
0,United States,EnergyAndUtilities
0,Vietnam,EnergyAndUtilities
0,Argentina,Healthcare
0,Australia,Healthcare
0,Belgium,Healthcare
0,Brazil,Healthcare
0,Bulgaria,Healthcare
0,Canada,Healthcare
0,Chile,Healthcare
0,China,Healthcare
0,Colombia,Healthcare
0,Croatia,Healthcare
0,Denmark,Healthcare
0,Egypt,Healthcare
0,Finland,Healthcare
0,France,Healthcare
0,Germany,Healthcare
0,Greece,Healthcare
0,Hungary,Healthcare
0,India,Healthcare
0,Indonesia,Healthcare
0,Ireland,Healthcare
0,Italy,Healthcare
0,Japan,Healthcare
0,Luxembourg,Healthcare
0,Malaysia,Healthcare
0,Mexico,Healthcare
0,Morocco,Healthcare
0,Netherlands,Healthcare
0,New Zealand,Healthcare
0,Nigeria,Healthcare
0,Norway,Healthcare
0,Pakistan,Healthcare
0,Philippines,Healthcare
0,Poland,Healthcare
0,Portugal,Healthcare
0,Romania,Healthcare
0,Russia,Healthcare
0,Saudi Arabia,Healthcare
0,Slovakia,Healthcare
0,Slovenia,Healthcare
0,South Africa,Healthcare
0,South Korea,Healthcare
0,Spain,Healthcare
0,Sweden,Healthcare
0,Switzerland,Healthcare
0,taiwan,Healthcare
0,Thailand,Healthcare
0,United Arab Emirates,Healthcare
0,United Kingdom,Healthcare
0,United States,Healthcare
0,Vietnam,Healthcare
0,Argentina,Industrials
0,Australia,Industrials
0,Austria,Industrials
0,Belgium,Industrials
0,Brazil,Industrials
0,Bulgaria,Industrials
0,Canada,Industrials
0,Chile,Industrials
0,China,Industrials
0,Colombia,Industrials
0,Croatia,Industrials
0,Cyprus,Industrials
0,Czechia,Industrials
0,Denmark,Industrials
0,Egypt,Industrials
0,Estonia,Industrials
