Category,Country,FiscalYear,NumCompanies,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Consumer,Argentina,FY2024,15,22.60033333333333,19.488724769865154,22.484,13.678,33.3645,-2.5960666666666654,29.56507535469661,3.439,0.21699999999999997,11.6815,-9.575333333333335,28.143914569385846,2.863,-14.643999999999998,5.274,2.3652666666666664,9.377494985098927,0.528,-1.2835,3.6,4.467133333333334,14.432740104205976,0.849,-1.8094999999999999,9.106,0.8584666666666654,44.95924586981217,7.024,-29.881500000000003,16.2975,14.572933333333333,70.72359516735243,-6.424,-21.6005,30.142,269874.3167156496,424811.2601038248,70352.4986262972,10570.873534019465,220662.355705414,-33309.9696591131,51958.6732919486,-9043.49640791557,-29996.1540125607,-2457.61942098322,193027.92291961488,254954.6727290854,51847.0376591171,11237.42713496813,285714.151490104,728620.5273542628,1290310.7455092515,131920.721931028,72965.91472247301,855313.6337519875,169967.12951415923,339764.95726223115,27054.892325404,10122.531506447165,184757.0653965,310095.0871858642,586009.8302019608,67267.904471244,29023.651061039047,290905.400202,-42273.966505817436,63544.33735286005,-12523.4986107556,-43822.136098445946,-985.178466477063
Consumer,Argentina,FY2023,14,27.637071428571424,16.392401965825012,27.517000000000003,16.99475,35.85925,9.946642857142859,10.46695415927905,8.3515,2.966,14.1925,-3.603214285714286,17.659720064026946,1.3645,-9.15325,4.8785,7.872071428571428,13.170681186767425,5.2995,1.7457500000000001,7.70975,15.259500000000001,25.834138893968518,7.177,2.8575,16.86075,-16.277571428571424,72.87056345595083,8.1865,-29.984250000000003,24.595750000000002,136.37442857142858,67.69844269016436,121.588,111.2015,178.635,641878.8634242651,861180.9084961067,169412.4653104005,78519.8897903461,923819.1636546268,-108542.0336492978,181588.52831155338,-24005.84452769345,-105227.14172996185,-12148.6353727573,469469.19916967285,899286.2494308446,146178.40256403078,42528.38282915104,343242.17478261323,2238558.6005243957,5429206.979495529,350017.47009171697,185066.641746535,1737909.0876805251,545568.0203676984,1461465.1386676736,51157.735570838704,19057.397714175626,200440.767371469,922486.506110785,2454750.2875169558,133014.4998782605,53284.874972591526,402958.30903628375,-83359.92822230663,139803.6880378286,-30301.6331307426,-80799.88299048139,-8474.988902394722
Consumer,Argentina,FY2022,14,19.36421428571429,13.185967276825398,22.5575,15.7005,26.221,1.1464285714285718,13.283054122314136,4.0115,-0.8295,10.66025,-8.868357142857144,21.748150166351234,1.6865,-10.30875,3.7624999999999997,3.667571428571429,6.52148302277377,3.0445,-1.68225,5.3785,7.286642857142857,13.421738606812152,4.761,-2.317,9.808250000000001,0.5956428571428567,42.584848337687866,7.6055,-10.007249999999999,24.229750000000003,146.0482857142857,77.12748253511248,177.238,75.0945,205.82150000000001,268501.8664745293,373758.4506000165,48159.2740310884,19209.01027604455,440739.30048232904,-37022.10505162911,59821.93941528525,-12746.39134838395,-28810.113572562077,-3889.5069195016376,265204.1630928962,271733.48730603134,157951.66279604152,25829.91246433895,497127.7932342785,875897.7199084451,910840.4627540015,463379.142702983,138531.13281028648,1454439.0291420475,132776.23397805056,128480.44870162175,77845.8441093484,15536.6153597243,247068.835725832,342281.8309450369,349256.1298915623,139208.7269666225,66219.4036144925,660997.7637662762,-40508.47312476484,75007.12177051386,-17871.0553656779,-38689.21059198525,-1298.851695361935
Consumer,Argentina,FY2021,19,26.517894736842106,16.62591887098903,25.232,18.0965,37.829499999999996,7.287105263157895,9.81408646522,8.044,1.787,11.616,-2.601421052631579,23.13469190430089,3.087,-12.343,6.9365000000000006,7.678368421052631,11.300873362665506,6.057,-0.6795,11.433499999999999,13.162526315789473,19.78342048113819,7.939,-0.8815,19.28,9.39221052631579,34.441827573275745,10.013,-12.600999999999999,30.622,98.82663157894737,66.964634615445,93.607,57.8095,126.4195,121044.7215048884,174923.01331453258,32538.79310082,12345.8667813103,159895.9633460865,-49215.644111832495,129112.70267169132,-6164.87101236939,-26833.9215657118,-370.224984120192,173473.2849190094,218342.46418184796,57905.750659838,16145.30996822115,307880.0080158195,696565.925234635,1273517.928073102,206718.196609065,73589.79458607115,786333.8042800014,192981.04445522075,470194.9076444494,30863.6919825575,7737.80461539043,175680.04776475398,250168.0286282612,401710.6064664985,85306.11497184,38941.789502471845,337759.88089914003,-16556.615484131507,25168.502490845687,-4692.10076173169,-15076.88630385975,-410.02739835869056
Consumer,Argentina,FY2020,18,25.726166666666664,12.702667350031472,26.6935,13.598500000000001,36.23425,6.533333333333335,8.184686161091063,7.074,2.7032499999999997,11.649249999999999,-7.009055555555556,22.03587623619523,1.835,-10.964,4.993499999999999,4.441222222222222,5.902595724251374,5.2860000000000005,-0.9470000000000001,8.804,8.146,11.559539735166313,7.376,-1.2235,14.598,2.675888888888887,32.624456109368296,7.039,-13.2065,26.708,45.44088888888889,45.50791087381144,53.1785,27.927,68.459,123944.33307311632,181204.67684323585,32350.043474626153,11670.904976753638,149421.84525640274,-37265.5860701109,90076.70594583254,-7416.762132245035,-32490.160243089253,-955.2416890087895,199073.08208643593,402780.0130169847,42968.75633626675,13165.590673881325,231125.81171051803,1109091.3232929942,3296071.356653854,218221.21284923848,56470.06189805632,603204.984609062,597187.4063208387,2130860.2533654426,29563.86280987145,11449.457696772699,185377.55267598,251756.6307180187,579745.895697581,96284.286666875,19367.910090803452,219459.086916756,-10976.86843323378,15163.030313872068,-5768.132430992595,-14843.4549619348,-171.778335025562
Consumer,Argentina,FY2019,15,27.7118,15.33392794731126,23.946,14.7795,41.1935,8.662533333333332,8.366587570940869,9.925,1.2385000000000002,12.9375,-8.242066666666666,21.76423764639802,-3.071,-6.121,2.716,3.4884,5.4079632000720315,6.008,-0.884,7.756,6.803933333333333,11.693753286643638,7.721,-1.235,12.278,-15.257066666666667,44.86023206429301,-9.697,-28.439500000000002,7.552,27.9568,33.09538436136778,30.746,10.795000000000002,37.810500000000005,150475.6559520369,203945.16982291188,53110.4362101215,24375.19684248275,180548.31850506802,-29438.93581591281,63287.31908326237,-6495.26120529838,-27956.310245397748,-1554.211657351395,193168.90471710695,331481.7823307731,31868.0536789763,11142.53434986922,223913.1287187715,1439942.5470248589,4209027.9504810525,334964.90319886,54732.11061509455,599397.33957158,831259.8235892996,2796845.211743722,15546.7238883414,10686.336483597086,197163.14554719202,307708.7167818247,727690.5061327326,114649.320981229,24937.1053767681,185466.39398512,-16669.154854145116,20346.10188002283,-10931.9522463816,-25270.07851093085,-202.829149444824
Consumer,Argentina,FY2018,17,28.511705882352942,15.632336450879468,29.708,10.118,39.902,9.194705882352942,9.077658928345851,10.258,2.102,17.006,-1.8546470588235293,5.65408902467603,-0.061,-5.176,0.969,5.215823529411765,7.594988814113237,2.4,0.957,11.749,10.437411764705882,18.544911482379025,3.368,1.178,14.394,-10.180529411764708,28.516783741421776,-2.125,-28.67,2.016,105.82988235294118,60.14846315662442,108.598,63.665,138.452,244759.53972196672,423283.10057839047,70683.4364332238,14235.6864882351,154856.365173571,-67791.62988237676,236484.69055106613,-2384.64520076249,-24219.0522028696,-524.914927689892,196067.24001039172,314255.4922140648,37819.7345114256,20337.8550335177,274249.93394175,1451330.765321947,4459798.653548717,165862.701948822,48779.993859915,717034.9012947,778918.3802823676,2754660.272320391,16483.7374973643,5571.89229298377,183665.1952705,371006.95876222674,979212.5897484111,112162.428608856,26006.8375643384,259166.880985299,-41879.71278462202,78772.64251027322,-6992.33629104867,-45317.0013254471,-1766.15968744676
Consumer,Argentina,FY2025,18,26.112555555555552,16.727504802378036,25.491,17.11825,38.63525,3.9402777777777778,17.185292655205547,3.588,0.958,14.0805,-3.6752777777777776,14.949449260779383,-0.5169999999999999,-10.7875,4.81975,1.9056111111111111,8.537751610991483,1.0265,-0.5062500000000001,3.1797500000000003,3.5780000000000007,13.212546369097652,1.5795000000000001,-0.678,7.8825,-3.292944444444445,40.00768670792072,-0.39549999999999996,-25.75575,10.132000000000001,9.247333333333334,62.67971883312815,-6.4225,-16.611,11.66875,119554.59174837389,166096.6948726816,51698.87210744104,13247.63302782925,167944.51249419927,-14160.92459240632,19887.94540949338,-5546.79646360862,-17288.098438068475,-1036.09139829548,155437.00436270246,194515.21182802814,36956.92548032181,13545.564163738749,273579.555303208,539871.0468981856,965773.9643334761,125427.655535771,63432.1617410861,600488.394448,142777.2895397077,280851.06699169544,27024.9556535644,10129.270738785814,131564.191963344,223188.46699305315,421078.7658110634,55404.18233972105,26352.969212878575,285849.36023078376,-18142.744643589773,19422.9224447451,-8075.881601889765,-35209.31387372432,-880.090480503146
Consumer,Australia,FY2024,140,45.92417142857143,23.160766445170914,44.0835,31.092,58.968,2.032928571428571,26.754283892662567,7.3740000000000006,0.9329999999999999,13.9425,-10.2996,36.964710562875275,2.1485,-13.79725,6.6175,0.6926928571428573,12.17266102841963,3.6075,-1.6949999999999998,6.083,-0.6670857142857143,24.04561484657433,4.7415,-2.7722499999999997,8.002749999999999,-3.105792857142856,97.17439590885014,5.7785,-15.5405,14.878,9.145414285714287,32.512069024767165,3.668,-4.34225,14.473500000000001,425971.0344883891,1489616.490205245,51808.90114012915,9960.316053135703,206185.52602889674,-19423.75604408126,57565.29829685916,-1421.46977499524,-12142.7886470134,-180.0720760632945,376819.66425575636,1461445.2878057358,31734.3875096145,7590.79730441615,179118.2946334875,997793.9484308441,2863726.038633223,130344.94261914701,28540.256871810525,716715.8433144232,395169.61216516147,1321711.3757921027,25359.954630056498,3054.230884669895,213236.60011078024,343934.1006119458,817712.1882289961,67382.9063242245,13882.0246195236,237696.32372269974,-40076.882621513905,176954.76646613012,-1971.7494738316,-17489.725102978024,-349.291291424537
Consumer,Australia,FY2023,135,41.49085925925927,27.354190255530277,42.296,26.497500000000002,58.25,-5.519977777777778,41.49317449331684,6.6,-4.4215,12.927499999999998,-10.613414814814812,86.1098227838007,2.1,-10.231,7.059,-1.103874074074074,14.431181531890065,2.53,-3.1870000000000003,5.79,-4.256407407407408,38.72692579804589,3.395,-4.1265,7.6365,-10.481851851851854,90.46133883586982,3.833,-15.8535,14.934000000000001,12.995703703703704,36.00172891158589,8.431,-1.8945,22.518,406170.0608426871,1447852.70659094,51800.8041234758,9420.638289568364,204616.72056939948,-16461.93927596926,52689.25685038042,-1427.0124807177299,-10339.75851762354,-250.4212899839735,368590.97881878173,1412491.0967699022,33562.728768912,9022.870830123,173111.013153642,956988.5444739363,2789335.763721151,131598.003263304,33865.22460903,554193.237918032,377497.27061520424,1270711.1428805215,25563.394330236,3093.268883675645,215550.41586775798,330246.7912486229,760488.0290181212,69668.2482187744,15117.268545005201,244289.90779384802,-41570.465275053655,182370.7521757476,-2503.32991310812,-13461.6732632225,-429.115105655072
